PolyA reads from egfp_a60_30.pod5 with Phred Quality score >= 7
read_id	start	end
0ff79b01-d806-48e5-b0cc-93a4e853d984	2749	4263
3e3513ec-1bd7-431f-980e-7162d0fd9960	2052	3860
04e852a0-2836-4a23-95aa-ae2f30c826ae	4688	6108
2d33790a-12cb-40e2-9e5b-99377672e673	2752	4233
05c20644-f08e-415b-bc41-88b83ced1fbc	2920	4802
1ca53ae1-3af5-403e-a125-f2838fc49fad	4272	7460
2be8fae7-da89-4310-9373-7086ed060326	2266	6109
186cb0bc-8ec4-4e8b-97fd-cb59a3dd767e	2563	5015
25e0a5d9-a8ea-48c1-b015-45c909354907	2487	3746
4741a202-c905-4a15-b489-f03f5505d56b	2743	4523
24d3b8a6-b2c1-40e8-ad82-f004a874044a	2769	4428
4b3e8dcc-832b-494a-8d99-af8c5749b967	2367	4065
452652e8-d7fd-464a-8f96-c2650a3368bb	2890	4661
3c887789-30b9-4bbd-9f03-0476c360e100	2523	6271
45b5d0d8-ca44-47b6-bbe3-3f35990abd89	4512	9138
767283cf-b742-41c7-80b5-012a5ef1e3f0	2869	4759
66db1e4b-ab6e-4fe2-9d32-60f6d6646852	2937	4604
6c7125dc-2391-41a3-b61b-8fd27e2f2a43	3208	3821
7b9ab401-92b0-422b-aa68-e93cd6cc653d	2702	4331
7b7af00e-23a2-4750-9cd8-1c4fb838da5d	3314	5052
65d8bc1b-ca7c-4373-b149-782fd6566345	2299	5303
79ff92a2-a35c-44b8-a792-0560eb3b6a6a	3052	5383
72de45a4-d792-4acc-b86e-7f71959fce24	2529	8354
6461ece2-11b9-4b07-a63e-fc4f975b8405	21940	35751
4a89501c-88f7-4d86-96c9-7db935e82394	2502	4691
4b75b144-df84-47b0-9aa3-96047a1bb271	3031	4575
4ccaabf8-1296-4f0d-bdbd-2bb0551beb93	2640	4015
4d25784c-cdc4-4764-a21d-6bc15a789fa5	2564	4211
4ff72cad-dc1f-4249-bb1d-0c88d89a79d3	3005	4325
4f0f62f8-d8e8-421f-938f-da5d33f2a2fa	2384	3925
4b9b5d50-62eb-46ec-a321-be73a748daf7	2261	3921
4eaa1e07-4f72-4078-b19a-1cc86db574ae	4328	6874
4abe8e63-f587-44b0-82e1-cb8ce16be68a	3814	5401
4d58a8c9-3f67-4ca9-921d-137282700e1e	3196	5593
4a716d47-8b17-4c08-b8db-212218bcd7a0	4126	5911
4db3cca2-a572-4d00-acf6-1c3e77ac12a7	3052	3427
4e9f7ab0-3a17-48b1-92e7-1538af196bfd	2220	3980
501fe102-00d3-4aee-8372-2acf4f92705f	2311	3758
