PolyA reads from egfp_a60_unmod.pod5 with Phred Quality score >= 7
read_id	start	end
81c94ea7-f28d-435c-9832-7534e5bf5b8a	2793	4763
841448b7-82bc-4422-988b-79b14db2137e	3134	4800
849bc05f-e84f-4461-9b21-8e5309e47f20	2925	4663
84dc90c9-a3c5-4b6c-b6ce-f407df9fff6c	2564	4244
89eb9311-f421-4b71-ad4d-6b502a322583	2502	4311
8af8ef16-ffed-46b2-8577-fef91d819d3b	2925	4463
916a1bbf-5197-4ad0-a0ec-1abb4956009e	2681	4491
91c4bdb5-8085-42a2-a105-fe898478f12d	2843	5307
91e1eeae-41f9-4586-a495-f41e5d22718c	3143	4889
8438b1a7-59d5-477c-af2b-366fd4144fc7	3202	5116
8ea43bb3-ccfd-4505-b8ee-b03fa951359e	2913	4162
8d120fb7-c555-44d0-adf3-c5c946d7cc29	2255	3880
905b1f6f-9a6e-409d-9ea4-1637e95a16d8	3299	5090
91f288c1-d4e0-4114-8628-74256fb63bc8	2669	4264
87030fe6-efad-4847-a0c3-d80d9a2ced9d	2631	3876
911beff0-839e-4438-a1fb-7637911106ba	2546	3995
765b2f5e-4ac4-4743-8c38-94623d8af65d	4747	7133
7869eb39-ac72-4d19-821f-d111e82e25c0	2493	4652
79995884-3ed0-4c3c-8987-dc4fb984064c	2396	3948
7c5756a5-4d0b-439e-a2b5-47af8da5cd9d	2619	5227
765764de-d6cc-4899-adbe-180b5a5db7e0	3146	4696
797c248c-1966-433f-aa40-d5183f4ee2bd	2890	4061
7db8ed5b-60c7-41b1-aa1e-f28f24cfb8da	2540	4284
7e6c483f-31c7-4df2-aa36-84c9faa78d0b	2728	4289
7ed06c34-f733-46ac-bed3-459c00dbfb44	3084	4801
7ee28638-c44d-4e57-906b-b0e54ab02fe8	2216	3896
7fb065a0-2fba-48db-befd-08b1a4eaff6a	2714	4347
809c9429-7209-4039-8c71-1c3e8a2454db	2811	4024
829cd0c2-e74a-40db-9b28-aa90e89643ea	2240	3970
7a1fefcf-a035-4b96-9cf0-e8743f34d3bf	2872	4339
82a9e18f-2089-4c4f-a8e8-2bbac10e7d3b	2757	4518
9a44c85d-6690-403a-83f4-59b82d00d909	2719	4395
9c14d383-3a9c-44b8-8bea-f06bfbaf8378	2390	4039
9ea96fd0-a64a-45a2-a3af-3154a57bcc6c	2934	4516
a24f20b0-b71f-461e-81d9-42f24f613a81	6899	8477
a32927a9-4b7a-42e4-ab24-7bb3e9814faf	3108	4945
a567f564-a6a2-440e-a278-545520e73c2d	2840	4440
9deb3ca0-9b48-46c2-ac2d-f20050be76c2	2890	4738
7cfb9194-00a6-47fe-a9b1-42d51ea6d8d0	2990	4663
7d1c604f-793b-4773-8465-638253f7d966	2808	4474
a0a2bc64-650a-4511-b611-9d6ea1dd7b9c	2772	4530
7aaed6cb-d497-4fa1-a0e6-f5fd91ea7d2a	3346	5166
79f3acb5-4819-4125-a2cf-187ab150755e	2240	4213
7f632fe8-b038-4254-addc-99d46179e927	2855	4166
8322bc09-a938-4b08-8a19-21a7c7e01311	2931	4665
a3503d4b-1c06-4771-a73b-5fd23af26a8d	2619	4184
7c8f56bd-cb9b-43fe-99fa-523f44c0b51e	2834	4652
9fe33908-2efc-4ad3-b1f2-39249ea2c8e7	2155	3958
8ba150b7-0914-406d-8e4c-3aa451654435	2355	3903
8c210a81-6605-4c17-8a1c-ef9fc0449651	3863	5394
8c4ecfd5-3aa5-4116-b269-4c7309a5f1c1	3239	4605
84233e40-e8d6-4ddc-b2b0-4c1feb9cabc0	3058	6425
98bb1f0c-9c52-43d9-b556-cdbec5d2c9ff	2834	4125
91bdee32-d7ab-45ce-8396-10fd40fe7545	3314	5486
957461f6-13b5-49eb-946c-4a8599194f07	2561	4296
97e72721-066f-42be-a38a-4c9755ce4e1e	2487	3906
9b0cdab7-9aa0-4efb-b933-51e3d3dc9526	2655	4167
9e45e5da-b281-4371-aa23-a9848942d213	2181	3731
9fc48149-57cd-459a-8915-27d5cf03ec2c	3287	4832
a5a1b351-4f02-458f-8c28-096f45645eea	2228	3710
aa968743-6fc3-460a-8a26-9c2c15e949fb	3281	4839
aa6c9f56-7558-4d4a-8459-133e6a689a68	3031	4614
b44f93ba-ae2e-4885-b000-ce8e0044f22c	2266	3971
852788e5-951a-4c7b-bad7-6bc3d5fcc575	2908	4458
85d018be-f2d4-47f0-adbb-8fcb2fb9997d	2887	4510
88d269f6-fc26-446e-85c7-ad8b2175fb41	2658	4141
89812df3-ffe4-419a-805c-e0fec7432799	2193	3926
89f1f5ce-ba1d-48b8-be5e-e49e1071d521	2652	4206
8531f720-ea49-4001-b184-b46d8f578d32	2699	4304
8b3017a1-d3fa-49ad-bd40-c48e4d71e6ca	3013	4789
8d4e8bb3-8ca9-4bf6-978b-9a95e9752da9	2825	4807
8da17cd7-2cda-4bcf-9edd-82b83071860f	2955	4086
8e4a66b4-3a46-42a9-96c6-76d205a51471	2990	4641
8ec8ab06-b982-4d81-a62b-a4079578beab	2825	4647
8f396ab0-97c9-4578-8a20-051640c7603e	2546	4043
8f5e9abc-bd2f-4696-af31-cc722e817196	2281	4253
934cae90-0186-4d4c-8e1f-903bde6165c7	3442	4799
937e4ea4-6270-4d9f-bb3a-08c64b27a0e1	2593	4790
909bc816-ad0f-4eb5-93a2-c89bd672b1da	2475	5350
96200dfd-3f87-4fbb-be0e-0d567c7d4ff0	2469	3956
964a6950-b55d-45aa-85d4-9b8f2140a06a	3430	4714
96fb1559-c650-410c-8e1c-f3dfdd87582c	2946	4805
992e3562-feb9-49a8-ad4f-d4d1a8021344	3396	4437
9990c331-a197-47b5-a527-fa2b4e9f276b	3001	3928
9a098db2-ad4c-4daa-9b0e-db6554a6781b	2722	4242
a5807077-6d97-43c5-a410-ac932c58a7ec	2525	4270
a5de765f-b0a8-4586-9142-d14dc6eda459	2563	4284
ae7ef288-6b45-4fa7-bcec-e02dc6dc1905	3019	4838
b19d1ea8-712c-4972-900a-7fda36cd1034	2293	3963
b1b17652-43a3-45a3-8165-151a9086f2a1	2209	3727
8a8c1f53-318c-4945-93bb-2fe08aa3df6a	2569	4305
8e370c97-aece-4367-91b9-acc8ac2794e9	2564	4519
929b762d-94aa-4c55-93ad-2b037c2cd9ca	2775	4534
9694aab9-f2ee-4f7a-9510-a8f3658a1aaa	2614	4365
8e0f1777-a68b-4d2f-86d1-2206561272a8	2690	4326
b29211b7-3738-4f44-acdf-67ab84a0b470	3161	4762
afa05ea6-b8c2-4fda-9c04-8680b6db1df5	2090	4727
84b6a077-ec36-4192-982a-84d3cc517af0	2437	4128
91c5d84b-7e4e-47be-8d84-f8fb49fa767d	2984	4419
a1da77f5-38ee-4ca4-97c3-a2b013c2a783	2631	4153
88d8beb7-357d-4507-91ca-189c513759ba	2984	8456
