read_id	start	end
0155d34b-a8b7-45c2-bc2b-31e2804401b1	2646	3942
017d4f44-e7bc-41db-8b0d-adf556515b92	2418	5402
040ee389-76f4-4836-938a-36152049fe48	2617	4456
0506befe-be43-4083-8a7c-f19335a7d11e	2852	4092
082d2704-d59d-4870-b7cf-35bd08dc5ee4	3099	4552
0b9c0aff-9345-47ae-ab73-3ddabaf2b9f4	2861	4901
0c0aea03-7f19-4b6a-be79-02b4105ad219	2293	3875
01a0c1dc-f3ee-4e50-82a4-537925f588cc	3011	4387
08406e19-9a94-496f-afed-3d93b37cba27	2670	4256
041c77c2-e5cf-4651-8b0c-8977210db7fb	2714	4437
03977ed3-5463-47bc-8ce9-4b002fbf744a	2491	4278
08d57f29-f593-40f0-8f48-ac663aabbf30	2528	4355
0a7152a3-73f9-482d-b712-41203a74565c	3140	4785
0c4ab44e-bddb-4f0d-a545-9b0776ea5e65	2481	4694
10022511-9286-4490-b6de-d08ef4cd20c7	2378	4121
0c8aca61-bd95-42d2-af40-6281c5bace28	2552	4433
10469961-d2d7-4a06-894f-d6b6c18a7db4	2149	3547
0033ca0f-59a3-4c2b-966f-88e1a97d9bb2	2366	4242
00245276-d77c-48f3-b369-88899a118e82	2411	3811
06c91372-be38-4721-8c9d-69164653a565	2128	3768
0f7f81a3-c58f-4fee-a367-2aa5ef38b295	4864	7305
0f01e850-5484-422e-8323-a52ac07156f2	2196	4100
0abc91c4-7a77-4f80-9156-a311819a232c	2905	6046
0354697b-210f-4460-91d9-280aa2639773	11408	22916
06fc7d8e-bffc-4568-91e3-b597535cddab	2859	4636
13e69377-8ced-4242-adfc-15142781e0e4	3131	4808
167b5b81-3de6-4f06-961c-c5208a6e0053	3428	4920
16ad9ad0-fc45-4d30-a1d6-7d0a1d5ec68d	2955	5977
17096b78-c73e-4754-acb4-9378decf056c	2346	4205
15a7bb43-3c89-459e-889f-d4247d34bc42	2017	5086
154af430-17ca-4d44-af41-e675d4bcb85a	2646	4637
07f8e96c-4670-4208-9dcd-2e439f213bcb	2720	5793
107210c6-8e5e-4a41-b76d-e356258b2323	2614	4255
01ee0e1b-e0b9-4b0a-a726-e0d7311470d9	2593	4485
12b9f808-266d-4f9a-9554-222f55764522	2631	4469
16c6cea2-1381-4983-aaba-e20f3b52ffb7	2875	6164
1376f657-f64d-40ae-9cf2-265463aa9ac6	2870	5098
15733ceb-7fd9-4972-a839-79c49aad871e	2296	3744
13697949-93ac-4bf2-88b4-57bed6f4a6f1	2148	5178
063108ac-f85f-4403-9569-830a531e887e	2622	5688
17943a55-f3af-4151-aa06-8aa040e286e5	2540	4641
11b8e7ba-4188-4ef2-973b-5383043d92a9	2578	4177
1063bfb3-aa7d-48be-a08d-badbc323b8b8	3587	6099
11457cc0-0fe2-40f9-a27c-1186e8771a85	2637	4159
11976b32-258d-4d78-98d9-f015d6c51434	2387	4093
1578b937-9a58-46fc-9857-6867db60ecec	6430	10089
07387dd6-2fe0-4323-93d3-6ea0be401e24	2681	4024
140e97bd-3871-4cba-9751-0b9b622ce576	2756	4330
0ac42e58-ac77-49b6-be11-54a6c45504f5	2396	4274
02e0f03b-7944-44bd-9820-52015ce72c0d	2661	5556
034db4fb-d5b7-483e-88ba-63a95b27ffeb	2320	3573
03bf1313-1530-4677-be4b-ebd49cf5c5c3	2640	4329
07242426-3c98-4acb-a38b-5e27a74c22c8	3819	5369
07e7711a-95c9-4270-8386-9d655a5b3e18	3184	4816
0a900fa5-1c0e-4d0c-ac17-f0e189f689bf	2761	4067
0aa2ba71-337f-41c5-bb32-cae4ffef3cf7	3873	5313
0b5b4fb6-b77d-49a5-9a91-dd27e4654ff6	3243	4887
0b7acf05-c8b7-4c15-992d-85c039b9662a	2499	3998
0c22529f-afa0-4082-9d56-35ab8cf70ea2	2537	3860
0c81d553-40c3-4324-ac40-f97209e87e41	2894	6735
0e1c17ed-8297-4bce-8117-254f97441ea4	3255	5169
00e8afbd-9107-4498-afc4-1464b7a4af5e	3428	5515
038078d3-c775-4330-b0d2-206f4230ad91	3237	4786
03530865-364d-4d1c-9472-fb3c0bad9574	3120	6560
04591c4c-3d44-4933-849f-3e7b89fb6a2a	3214	5985
03a6e322-815e-4802-bb89-d108c4a7aada	2837	6227
07d80313-f6c0-4ea1-ba26-0dff7307e049	2752	5174
0793ecf3-ab2e-43f5-9956-abc98adf4f8d	3002	4413
0ac1c976-80b8-4f7c-9703-25a13c3ad703	3131	5344
023b9b65-2235-41b6-a3b7-37b23bc123f8	3148	5544
0044fbd2-7e57-465e-8b6e-f8d652c4ccef	2408	7002
0dd5548d-cdc3-469a-a0cb-6b130147137e	4927	6582
0d3cc089-868f-40dc-b00e-e65edee7ebdc	2616	4586
0fbc1ea2-ec90-4be3-a7b8-ea3b6ab92db5	3317	5221
03a3623a-37f4-4cee-af27-af225fd6cd4b	2731	4554
0ef84842-0f71-43b8-900b-8f4c85f50398	2796	4375
0f5026f8-74e4-4fb6-b4ca-e5069573c9f2	3114	6624
047ea879-c7f7-4ddb-8422-5712dec105f0	2867	4734
02c47dc4-6896-4127-af8c-e4f98d84fb60	2964	8787
037a178f-ec29-452f-98f7-843f918b4961	2979	5157
024ddf6f-4f8d-4b2e-9598-ff60f39bb6f8	2967	5235
109c1a96-7119-4a14-897f-f93f06997666	2464	4285
d8d89b46-0cc7-4e7c-9fb7-1e76e318ae27	2490	3991
135a50d4-31a4-4146-84c8-9686f152df76	2308	3819
1719ebd5-6e6e-45d9-8a46-d8873142aaba	2664	4336
